,0,1,2,3
0,2021.01.01.,세계일보,주류전문가 명욱이 내다본 2021 술 트렌드…“홈술 강세에 전통주 날아오를 듯...,"탁주, 약주, 청주부터 최근에 이슈가 되는 증류식 소주, 와인, 브랜디, 진, 보드카, 시드르까지도 실은 전통주, 엄밀히 말하면 지역 특산주이지만, 전통주 범위 안에 들어갑니다. 2019년 기준 한국 주류 제조 면허는 2443개...."
1,2020.12.31.,불교신문,[2021 불교신문 신춘문예 당선작/ 단편소설] 김대갑 '키르티무카',밤늦게 모텔에 돌아온 현수는 힙 플라스크에 담긴 보드카를 마시며 태혁을 생각했다. 가방에서 필름 카메라를 꺼낸 현수는 그걸 한참 내려다보았다. 노트북에 메모리 리더기를 꽂은 현수는 통도사 사진들을 검색했다. 수 백...
2,2020.12.31.,UPI뉴스,"유키스 수현 ""동호, 일본서 대기업 간부로 재직""",동호는 거품보드카 부스터리드라이 사업을 하는 '미소사'에 재직 중인 것으로 알려졌다. 동호는 2008년 유키스로 데뷔한 후 2014년 연예계를 은퇴했다. 이후 2015년 한 살 연상의 일반인 아내와 결혼해 득남했지만 결혼 3년...
3,2020.12.31.,스포츠월드,"유키스 동호, 27살에 CEO…재직 중인 日 대기업은?","1994년생으로 올해 나이 27세인 동호는 거품 보드카 부스터드라이 사업을 하는 ‘미소사’(株式?社ミソサ)의 CEO로 재직 중이다. 더불어 옥타곤 재팬(OCTAGON JAPAN) 콘텐츠 사업부, 옥타곤 도쿄(SEL OCTAGON TOKYO) DJ로..."
4,2020.12.31.,스포티비뉴스,"유키스 수현이 밝힌 동호 근황 ""日 대기업 간부…회의도 참여""",신감각 거품보드카 부스터리드라이 사업을 하는 회사로 전해졌다. 또 옥타곤 재팬(OCTAGON JAPAN) 콘텐츠 사업부 소속이며 셀 옥타곤 도쿄(SEL OCTAGON TOKYO) DJ로도 활동하고 있다고 밝혔다. 그는 2015년 1살 연상 아내와...
5,2020.12.31.,스포츠조선,"유키스 동호, 27살에 日대기업 간부? '거품보드카 사업 CEO 재직'","1994년생으로 올해 나이 27세인 동호는 프랑스 등 유럽에서 큰 인기를 끌고 있는 신감각 거품보드카 부스터리드라이 사업을 하는 '미소사'의 CEO로 재직 중이다. 또한 옥타곤 재팬(OCTAGON JAPAN) 콘텐츠 사업부, 옥타곤 도쿄..."
6,2020.12.31.,한국경제,"""유키스 동호, 日 대기업 간부로 재직""",동호는 거품 보드카 부스터드라이 사업을 하는 미소사에 근무하고 있는 것으로 알려졌다. 일라이는 11살 연상 레이싱모델 지연수와 2014년 혼인신고를 하고 2017년 정식으로 결혼식을 올렸다. 슬하의 아들을 양육하며...
7,2020.12.31.,MTN,'혼자라도 괜찮아' 홈파티 완성은 음식…1인 파티푸드 눈길,"다양한 음료와 주류에 섞어 맛과 알코올 농도 조절이 가능한 토닉워터를 활용하면 누구나 개성 있는 칵테일과 에이드를 만들 수 있다.하이트진로음료 '진로 토닉워터' 시리즈는 보드카, 진(Gin) 등 도수가 높은 주류는 물론..."
8,2020.12.31.,허프포스트코리아,"'라디오스타'에 출연한 유키스 수현이 전 멤버 동호가 ""DJ 겸 일본 대기업 간...",그는 거품 보드카 부스터드라이 사업을 하는 주식회사 미소사(株式会社ミソサ)의 CEO로 알려졌다. 또한 일본 옥타곤 재팬 콘텐츠 사업부와 옥타곤 도쿄(SEL OCTAGON TOKYO) DJ로 활동 중이다. 동호는 2008년에 유키스로...
9,2020.12.31.,톱스타뉴스,"""어린 나이에 CEO""…유키스 출신 동호, 간부 재직 중인 일본 대기업 어디?","1994년생으로 올해 나이 27세인 동호는 거품 보드카 부스터드라이 사업을 하는 미소사(株式会社ミソサ)의 CEO로 재직 중이다. 이와 동시에 옥타곤 재팬(OCTAGON JAPAN) 콘텐츠 사업부, 옥타곤 도쿄(SEL OCTAGON TOKYO) DJ로..."
10,2020.12.31.,뉴스인사이드,"전 유키스 동호, 이혼 후 DJ 겸 일본대기업 간부?…日서 주류 CEO로 활동중",그는 프랑스 등 유럽에서 큰 인기를 끌고 있는 신감각 거품보드카 부스터리드라이 사업을 하는 주식회사 미소사(株式会社ミソサ)의 CEO로 알려졌다. 여기에 추가로 일본 옥타곤 콘텐츠 비즈니스 디비전이라고 적혀 있어...
11,2020.12.30.,하퍼스바자,집밥에 지쳤다면? 여기가 찐 #미국맛피자,"그중 토마토 베이스에 보드카 크림, 버팔로 모차렐라 치즈와 바질을 올린 보드카 로즈 피자, 크림 트러플 버터와 버섯, 모차렐라 치즈가 어우러진 화이트 트러플 피자는 꼭 맛봐야 하는 이곳만의 시그니처 메뉴! 모든..."
12,2020.12.30.,소믈리에타임즈,해외 온라인 주류 마켓에서 가장 많이 거래된 '술 BEST 20',카사미고스 아녜호(Casamigos Añejo) 보드카 15. 그레이 구스(Grey Goose) 16. 모스코프스카야(MOSKOVSKAYA) 위스키 17. J&B 레어(J&B Rare) 18. 맥켈란 에디션 No. 4(Macallan Edition No 4) 19. 맥켈란 레어...
13,2020.12.30.,소믈리에타임즈,"버번위스키부터 보드카까지, '2020 스피리츠(Spirits) BEST 10'","25달러(한화 약 2만 7,300원) 보드카 / D. 조지 밴햄스 보드카(D. George Benham's Vodka) D. George Benham's Vodka <사진=Graton Distilling Co.> 점수: 93점 가격: 27달러(한화 약 2만 9,500원) 소믈리에타임즈"
14,2020.12.30.,IT조선,"[전자책 시대] ⑮펜맨 2020년 독서목록, 손가는 대로 읽기","새벽에 잠을 깨어 중반부부터 이어 들었는데, 작가가 문학 모임에서 만난 술 친구와 죽이 맞아 그 친구의 반지하방에서 보드카를 새벽에 마시는 대목이었다. 이어 작가가 그 술 친구와 술 궁합이 너무 잘 맞아 아예 동거를..."
15,2020.12.26.,베타뉴스,"‘집에서도 맛있고 특별하게’…유라,연말 집콕족 위한 시그니처 커피 레시피...","커피와 보드카의 콜라보 ‘에스프레소 마티니’ 커피와 술의 조합인 ‘커피 칵테일’과 함께 연말 파티... 에스프레소 마티니를 만들려면 에스프레소 투 샷(원 샷30ml 기준), 보드카(앱솔루트) 30ml, 칵테일 쉐이커, 얼음..."
16,2020.12.26.,헬스조선언론사 선정,'집콕 연말' 분위기 내려고 마신 '와인'… 몸 덜 해치려면,그런데 와인은 발효되는 과정에서 이미 아세트알데하이드가 생성되고 불순물도 많이 발생해 과음할 경우 더 도수가 높은 소주나 보드카보다 취기가 오래가고 숙취도 심하다. 박주연 원장은 “특히 올해 크리스마스는...
17,2020.12.26.,아시아경제,집콕 생활 위로하는 ‘특별한 커피’ 한 잔,"커피·보드카의 환상적 콜라보 ‘에스프레소 마티니’ 커피와 술의 조합인 ‘커피 칵테일’은 연말 파티... 에스프레소 마티니는 먼저 커피머신에서 추출된 에스프레소 투 샷(원 샷30ml 기준), 보드카(앱솔루트) 30ml..."
18,2020.12.26.,신동아언론사 선정,2020년을 달려온 내게 건네는 뜨겁고 달콤한 홈술,"대형마트에서 깔루아나 베일리스 같은 향긋하고 달콤한 술 한 종류와 보드카 혹은 버번위스키 한 종류를... 허브 리큐어는 보드카, 진, 럼 등을 증류한 뒤 허브액을 섞어 만든 술이다. 삼부카, 예거마이스트, 압생트..."
19,2020.12.26.,뉴시스,홀로 송년회 완성하는 '1인 파티푸드' 눈길,"하이트진로음료 '진로 토닉워터' 시리즈는 보드카, 진(Gin) 등 도수가 높은 주류는 물론 한국인이 즐겨 마시는 소주와 섞어 마시기에 최적화된 한국형 칵테일 믹서다. 진로 토닉워터는 토닉워터 특유의 쌉쌀함과 레몬..."
