,0,1,2,3
0,2021.01.01.,무등일보,[제33회 무등일보 신춘문예 단편소설 당선작] 7구역,초이는 거실 바닥에 앉아 위스키를 마시고 있었다. 집에는 노트북과 책장만 있었다. 가구들이 거의 다... 그는 남은 위스키를 단숨에 들이켰다. 7구역이 선생님한테는 지옥이라고요? 나와 반대시군요. 나에게 지옥은 7구역...
1,2021.01.01.,아주경제,"[뉴욕증시 마감] ""지붕 뚫었다""...파란만장 2020년, 최고가로 피날레",이에 미국은 와인과 위스키 등 75억 달러 규모의 EU산 상품에 관세를 물렸다. 그러자 EU는 반발했다. 미국이 보잉을 불법 지원했다며 40억 달러 상당의 미국산 상품에 보복관세를 부과하며 맞불 작전을 펼쳤다....
2,2021.01.01.,머니투데이,"""묻고 더블로""…지옥과 천국의 2020년 美증시 아듀!","이에 미국은 와인, 위스키 등 75억달러(약 8조원) 규모의 EU산 상품에 관세를 물렸다. 그러자 EU도 미국이 보잉을 불법 지원했다며 40억달러 상당의 미국산 상품에 보복관세를 부과했다. 여기에 디지털세 문제가..."
3,2021.01.01.,머니투데이,30% 폭락 뒤 더블…파란만장 2020년 美증시 끝[뉴욕마감],"이에 미국은 와인, 위스키 등 75억달러(약 8조원) 규모의 EU산 상품에 관세를 물렸다. 그러자 EU도 미국이 보잉을 불법 지원했다며 40억달러 상당의 미국산 상품에 보복관세를 부과했다. 여기에 디지털세 문제가..."
4,2020.12.31.,아주경제,"美트럼프, 프랑스·독일에 보복관세 추가...규모·시기는 오리무중","이에 따라 미국은 와인, 위스키 등 EU산 제품에 75억 달러(8조1300억원) 상당의 관세를 부과했고, EU는 맞대응으로 보잉이 제조한 항공기 등 미국산 상품과 서비스에 40억 달러(4조3천360억원) 규모의 관세를 매겼다. 다만..."
5,2020.12.31.,에너지경제,"'바이든에 재 뿌리나'...트럼프, 퇴임직전 EU에 관세폭탄","작년 10월 세계무역기구(WTO)가 에어버스에 EU가 불법 보조금을 지급한 점을 인정하고 미국이 보복관세를 부과할 수 있다고 결정하자, 미국은 와인, 위스키 등 75억달러(8조1300억원) 상당의 EU 제품에 관세를 부과했다...."
6,2020.12.31.,연합뉴스,"트럼프, 퇴임직전 EU에 관세폭탄…바이든 관계개선 노력에 찬물(종합)","작년 10월 세계무역기구(WTO)가 에어버스에 EU가 불법 보조금을 지급한 점을 인정하고 미국이 보복관세를 부과할 수 있다고 결정하자, 미국은 와인, 위스키 등 75억달러(8조1천300억원) 상당의 EU 제품에 관세를 부과했다...."
7,2020.12.31.,하퍼스바자,'찐힐링'이 가능한 강원도 힐링스팟 #진주의바깥생활,"증류주에 소나무의 새순을 침출 시켜 담근 40도 술로 스위스 아펜첼 지역에서 맛본 스모키한 알프스 위스키와 흡사하다. 운이 좋으면 식초처럼 시큼한 급성주와 순수 증류주, 전주의 모주 등 다양한 술이 곳간에서 나올..."
8,2020.12.31.,한국무역신문,"미국, EU 항공기부품·와인 등에 추가관세… 무역갈등 지속","작년 10월 세계무역기구(WTO)가 에어버스에 EU가 불법 보조금을 지급한 점을 인정하고 미국이 보복관세를 부과할 수 있다고 결정하자, 미국은 와인, 위스키 등 75억달러(8조1천300억원) 상당의 EU 제품에 관세를 부과했다...."
9,2020.12.31.,연합뉴스,"미국, 유럽 항공기부품·와인에 추가관세…무역갈등 지속","작년 10월 세계무역기구(WTO)가 에어버스에 EU가 불법 보조금을 지급한 점을 인정하고 미국이 보복관세를 부과할 수 있다고 결정하자, 미국은 와인, 위스키 등 75억달러(8조1천300억원) 상당의 EU 제품에 관세를 부과했다...."
