,0,1,2,3
0,2020.12.31.,연합뉴스,막걸리 등 주류 매출↑…일상화된 집콕에 홈술족 증가 영향,"31일 부산지역 롯데마트에 따르면 12월 한 달간 주류 매출은 작년 같은 달과 비교해 50%나 늘었다. 국내 맥주 브랜드 매출은 43%, 외국 브랜드 매출은 28%, 포도주 매출은 99%나 급증했다. 소주도 28%나 증가한 것으로..."
1,2020.12.31.,프레시안언론사 선정,"""노회찬의 빈소에는 어떤 특권도 없었다""","그곳에서 자정까지 소주를 마시는데 술이 취하지를 않고 술술 넘어갔다. 그에게 미안했다. 생전에 그에게... 정의당은 ""항상 시민의 삶과 함께하는 지방정치가 되도록 정의당의 역할을 다하겠다""며 ""지역의 토호들보다는..."
2,2020.12.31.,한경비즈니스언론사 선정,"김인규 하이트진로 사장, ‘테라·진로’ 이어 와인 사업까지…주류 3총사 ‘...",여기에 참이슬에 진로이즈백이 더해진 소주부문 영업이익 역시 전년 대비 25.2% 늘어난 1297억원에 달한... 호주 내에서도 청정 지역의 맥아를 엄선해 100% 사용하고 발효 공정에서 자연 발생하는 리얼 탄산만...
3,2020.12.31.,뉴스1,‘맥키스컴퍼니-이제우린’ 지역과 상생의 가치를 만든다,이처럼 CSV(공유가치창출)활동과 ‘이제우린’소주 한 병을 통한 맥키스컴퍼니의 활동들은 지역사회에 상생의 가치를 만들어가고 있다. 맥키스컴퍼니 조웅래 회장은 “일상 속 익숙함에서 만들어지는 작은 가치들이...
4,2020.12.31.,중도일보,MZ세대 사로잡은 'K-와인' 청량하거나 간편하거나,"소주와 맥주, 와인, 위스키보다는 여전히 전통주 시장은 미약하지만, 가능성이 있다는 평가다. 이는 MZ... 지역 특산물로 만든 개성 있는 술은 온라인 판매가 가능해지면서 차별화된 경험을 추구하는 MZ세대의 취향과..."
5,2020.12.31.,오마이뉴스언론사 선정,"노회찬 떠나는 길... ""거기엔 어떤 특권도 없었다""","그곳에서 자정까지 소주를 마시는데 술이 취하지를 않고 술술 넘어갔다. 그에게 미안했다. 생전에 그에게... 정의당은 ""항상 시민의 삶과 함께하는 지방정치가 되도록 정의당의 역할을 다하겠다""며 ""지역의 토호들보다는..."
6,2020.12.31.,우먼스플라워,매콤한 소스에 정신 번쩍…하루가 지나간다 ,준수하고 지역 상권도 활성화하는 윈윈을 기대합니다. 야채곱창은 내게 많은 추억이 있는 음식이다. 어릴 적 남동생과 함께 교감하면서 먹을 수 있는 음식 중 하나이기 때문이다. 물론 나는 곱창을 먹으면서 소주 한 잔을...
7,2020.12.31.,경남일보,신들의 정원 히말라야 (53)6년만에 다시 오른 하얀 산,"""소주 먹는데 이상 없지? 이렇게 연룡이도 만났으니 죽어도 여한이 없다."" 다음날 카트만두를 떠나 카라반에... 경남지역본부 양명호 본부장님과 직원 여러분들에게도 감사드립니다. 이 글들은 산을 오르다 먼저 간 선..."
8,2020.12.30.,에스콰이어,"전통주, 와인, 칵테일까지 집에서 즐길 수 있는 술 구독 서비스","우리술한잔 탁주, 청주, 소주 등 다양한 전통주를 취급하는 우리술한잔은 ‘이달의 우리술BOX’를 제공한다. 전통주 전문가들이 큐레이션한 최고급 전통주와 해당 술의 양조장이 위치한 지역의 문화・역사..."
9,2020.12.30.,SBS,"불 꺼진 식당, 불 밝힌 술집…한 도시 두 풍경","일부 지역에서는 늦은 밤 유흥시설 정상영업이 가능해 형평성 논란이 일고 있습니다. 조재근 기자가... [식당 주인 : 같은 (밀폐된) 공간에서 양주 먹으면 괜찮고, 소주 먹으면 안 되는 그런 느낌? 동일한 규정을..."
